Sequentiel,4,1.86422
Parallel,4,0.738302
Sequentiel,4,1.918
Parallel,4,0.739371
Sequentiel,4,1.91223
Parallel,4,0.730622
Sequentiel,4,1.88896
Parallel,4,0.709468
Sequentiel,4,1.88806
Parallel,4,0.75188
Sequentiel,4,1.88987
Parallel,4,0.808629
Sequentiel,4,1.93515
Parallel,4,0.736383
Sequentiel,4,1.91449
Parallel,4,0.739919
Sequentiel,4,1.81597
Parallel,4,0.768056
Sequentiel,4,1.86865
Parallel,4,0.881592
Sequentiel,10,37.0607
Parallel,10,14.4581
Sequentiel,10,36.111
Parallel,10,14.1722
Sequentiel,10,37.3016
Parallel,10,14.4562
Sequentiel,10,37.9268
Parallel,10,14.7647
Sequentiel,10,38.4994
Parallel,10,14.595
Sequentiel,10,37.3333
Parallel,10,14.325
Sequentiel,10,37.2032
Parallel,10,15.1617
Sequentiel,10,36.7727
Parallel,10,14.5135
Sequentiel,10,36.7206
Parallel,10,15.1151
Sequentiel,10,37.4998
Parallel,10,14.8048
Sequentiel,15,424.331
Parallel,15,164.246
Sequentiel,15,393.006
Parallel,15,155.399
Sequentiel,15,392.705
Parallel,15,154.587
Sequentiel,15,402.278
Parallel,15,166.378
Sequentiel,15,412.147
Parallel,15,162.043
Sequentiel,15,407.35
Parallel,15,165.055
Sequentiel,15,409.281
Parallel,15,165.105
Sequentiel,15,397.361
Parallel,15,159.339
Sequentiel,15,398.108
Parallel,15,160.771
Sequentiel,15,396.226
Parallel,15,159.018
Sequentiel,20,4415.23
Parallel,20,1791.42
Sequentiel,20,4392.08
Parallel,20,1788.41
Sequentiel,20,4388.9
Parallel,20,1788.71
Sequentiel,20,4436.31
Parallel,20,1768.03
Sequentiel,20,4464.35
Parallel,20,1822.77
Sequentiel,20,4446.3
